CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);37632;02/04/2017;R$ 604,00;R$ 9,29;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30725;02/04/2017;R$ 829,24;R$ 12,76;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40244;02/04/2017;R$ 487,93;R$ 7,20;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36699;02/04/2017;R$ 687,63;R$ 10,14;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);48309;02/04/2017;R$ 32,48;R$ 0,49;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);38178;02/04/2017;R$ 687,49;R$ 10,58;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44832;02/04/2017;R$ 27,03;R$ 0,39;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);49990;02/04/2017;R$ 553,46;R$ 7,82;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);45438;02/04/2017;R$ 471,91;R$ 6,67;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);32978;02/04/2017;R$ 624,66;R$ 9,21;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);37549;02/04/2017;R$ 450,59;R$ 6,93;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45891;02/04/2017;R$ 57,36;R$ 0,84;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56100;02/04/2017;R$ 2,36;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);40263;02/04/2017;R$ 32,63;R$ 0,48;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45774;02/04/2017;R$ 10,51;R$ 0,15;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45790;02/04/2017;R$ 24,52;R$ 0,36;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45876;02/04/2017;R$ 16,70;R$ 0,24;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44438;02/04/2017;R$ 14,78;R$ 0,21;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);24433;02/04/2017;R$ 32,69;R$ 0,46;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);36558;02/04/2017;R$ 59,29;R$ 0,87;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45917;02/04/2017;R$ 12,90;R$ 0,19;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37181;02/04/2017;R$ 7,74;R$ 0,11;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37154;02/04/2017;R$ 116,52;R$ 1,71;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40563;02/04/2017;R$ 270,49;R$ 4,16;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44876;02/04/2017;R$ 43,22;R$ 0,63;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);37493;02/04/2017;R$ 629,85;R$ 9,69;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45025;02/04/2017;R$ 268,84;R$ 3,96;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40515;02/04/2017;R$ 32,42;R$ 0,49;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);66533;02/04/2017;R$ 32,58;R$ 0,22;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);30729;02/04/2017;R$ 458,17;R$ 3,12;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40539;02/04/2017;R$ 33,03;R$ 0,50;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);38178;02/04/2017;R$ 32,67;R$ 0,46;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56028;02/04/2017;R$ 88,92;R$ 1,31;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56123;02/04/2017;R$ 19,14;R$ 0,28;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);56003;02/04/2017;R$ 10,66;R$ 0,15;CALCULADO
