CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);25045;01/03/2017;R$ 2,04;R$ 0,01;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34076;01/03/2017;R$ 66,22;R$ 0,84;CALCULADO
79.578.068/0001-02;Chapada Comercio De Alimentos Eireli;373270;01/03/2017;R$ 108,70;R$ 1,10;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31624;01/03/2017;R$ 15,92;R$ 0,20;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31598;01/03/2017;R$ 28,28;R$ 0,36;CALCULADO
81.210.825/0001-32;SVD SUPERMERCADO LTDA;19464;01/03/2017;R$ 10,25;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31643;01/03/2017;R$ 103,10;R$ 1,31;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34593;01/03/2017;R$ 5,86;R$ 0,07;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28020;01/03/2017;R$ 10,50;R$ 0,05;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28011;01/03/2017;R$ 8,50;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28012;01/03/2017;R$ 14,75;R$ 0,07;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31618;01/03/2017;R$ 7,25;R$ 0,09;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);7696;01/03/2017;R$ 44,82;R$ 0,57;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34125;01/03/2017;R$ 24,58;R$ 0,31;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34533;01/03/2017;R$ 33,85;R$ 0,43;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);7716;01/03/2017;R$ 44,69;R$ 0,57;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34626;01/03/2017;R$ 379,39;R$ 4,85;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34525;01/03/2017;R$ 3,89;R$ 0,04;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15879;01/03/2017;R$ 24,34;R$ 0,31;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79912;01/03/2017;R$ 43,50;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);11178;01/03/2017;R$ 6,07;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31608;01/03/2017;R$ 17,80;R$ 0,22;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31628;01/03/2017;R$ 78,67;R$ 1,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31640;01/03/2017;R$ 41,02;R$ 0,52;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4067;01/03/2017;R$ 81,20;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44272;01/03/2017;R$ 9,74;R$ 0,12;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);51587;01/03/2017;R$ 0,38;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34102;01/03/2017;R$ 20,21;R$ 0,25;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79951;01/03/2017;R$ 4,50;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;10012;01/03/2017;R$ 14,51;R$ 0,00;CALCULADO
80.862.477/0003-87;GERALDO DIVONEI PEDROSO - MERCADO;4112;01/03/2017;R$ 496,59;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34080;01/03/2017;R$ 6,75;R$ 0,08;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28119;01/03/2017;R$ 11,75;R$ 0,06;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15872;01/03/2017;R$ 41,15;R$ 0,52;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);12513;01/03/2017;R$ 29,98;R$ 0,38;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);31630;01/03/2017;R$ 17,45;R$ 0,22;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79970;01/03/2017;R$ 18,00;R$ 0,01;CALCULADO
